,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-04-15 15:32:00,1.26003,1.26004,1.26003,1.26004,2,0,0,1.25982,1.25987,1.26003,0.00021,0.00023,0.00014,1.26004,1.2600220048010804,1.26004,1.2600220048010804,,,,,,2.0,,1970-01-01 00:00:00,1.26007,1.2597800000000001
2022-04-15 15:39:00,1.25994,1.25999,1.25994,1.25999,4,0,0,1.25982,1.25987,1.25999,0.00019,0.0002,0.00014,1.25996,1.2598579844125086,1.25999,1.2598579844125086,,,,,,1.0,buy break even,2022-04-15 15:51:00,1.26002,1.2596800000000001
2022-04-15 15:51:00,1.26003,1.26044,1.25997,1.26044,46,0,13,1.25984,1.25989,1.25998,0.00017,0.00016,0.00014,1.26022,1.2599712739219755,1.26044,1.25997,,,,,,1.0,buy break even,2022-04-15 20:15:00,1.26047,1.25981
2022-04-18 11:55:00,1.26355,1.2637,1.26352,1.26368,100,0,0,1.26361,1.26363,1.26365,0.00013,0.00013,0.00013,1.26361,1.2634894283167044,1.2637,1.2634894283167044,,,,,,1.0,buy break even,2022-04-18 12:01:00,1.26373,1.26341
2022-04-18 12:41:00,1.26411,1.26413,1.26395,1.26395,13,0,0,1.26359,1.2636,1.26361,0.00014,0.00013,0.00014,1.26404,1.263906048344039,1.26413,1.263906048344039,,,,,,1.0,buy lose,2022-04-18 13:58:00,1.26416,1.26355
2022-04-19 09:10:00,1.25822,1.25824,1.25805,1.25821,87,0,0,1.25842,1.25811,1.25793,0.00022,0.00022,0.00015,1.25818,1.2583353408261846,1.2583353408261846,1.25805,1.0,sell break even,2022-04-19 10:00:00,1.2580099999999999,1.25865,,,,,
2022-04-19 11:06:00,1.25748,1.25751,1.25742,1.25744,68,0,0,1.25794,1.25778,1.25771,0.00022,0.00023,0.00021,1.25746,1.25757309964001,1.25757309964001,1.25742,1.0,sell break even,2022-04-19 11:07:00,1.25738,1.25782,,,,,
2022-04-19 11:07:00,1.25745,1.25747,1.25681,1.25691,85,0,0,1.25793,1.25776,1.25768,0.00025,0.00023,0.00021,1.25716,1.257516549820005,1.257516549820005,1.25681,1.0,sell lose,2022-04-19 11:46:00,1.257295,1.25782,,,,,
2022-04-19 18:10:00,1.2622,1.26235,1.26218,1.26235,38,0,0,1.26182,1.262,1.26206,0.00029,0.0003,0.0003,1.26227,1.262176926212033,1.26235,1.262176926212033,,,,,,1.0,buy break even,2022-04-19 18:24:00,1.26238,1.26181
2022-04-19 18:29:00,1.26256,1.26272,1.26249,1.26272,68,0,0,1.26196,1.26217,1.26236,0.00028,0.00029,0.00031,1.26262,1.2625197029627346,1.26272,1.26249,,,,,,1.0,buy lose,2022-04-19 18:50:00,1.26275,1.26214
2022-04-19 18:55:00,1.2621,1.26238,1.2621,1.26238,63,0,0,1.26209,1.26229,1.26242,0.00024,0.00024,0.00031,1.26224,1.2620229538825112,1.26238,1.2620229538825112,,,,,,1.0,buy lose,2022-04-19 18:58:00,1.26241,1.26183
2022-04-19 19:01:00,1.26198,1.26225,1.26194,1.2622,121,0,0,1.26208,1.26227,1.26234,0.00026,0.00025,0.00031,1.26209,1.2619144211544142,1.26225,1.2619144211544142,,,,,,1.0,buy win_3,2022-04-19 19:19:00,1.26228,1.26159
2022-04-19 19:54:00,1.26253,1.26266,1.26253,1.26264,28,0,0,1.26242,1.26263,1.26273,0.00017,0.00018,0.00029,1.26259,1.2624661601489593,1.26266,1.2624661601489593,,,,,,2.0,,1970-01-01 00:00:00,1.2626899999999999,1.26231
2022-04-20 10:08:00,1.25823,1.25832,1.2581,1.2581,60,0,0,1.25868,1.25846,1.25832,0.00023,0.00022,0.00015,1.25819,1.2583399892016351,1.2583399892016351,1.2581,1.0,sell break even,2022-04-20 11:00:00,1.25806,1.25865,,,,,
2022-04-20 11:07:00,1.25778,1.25778,1.25748,1.25753,35,0,7,1.25819,1.25789,1.25762,0.0002,0.00019,0.00016,1.25764,1.2578813348754572,1.2578813348754572,1.25748,1.0,sell win_3,2022-04-20 12:08:00,1.25744,1.2580500000000001,,,,,
2022-04-20 14:34:00,1.2548,1.2548,1.25469,1.25472,55,0,0,1.25528,1.2548,1.2547,0.00019,0.00019,0.00019,1.25475,1.2549138298939215,1.2549138298939215,1.25469,1.0,sell break even,2022-04-20 14:44:00,1.25465,1.25513,,,,,
2022-04-20 17:11:00,1.25157,1.25164,1.25136,1.2515,98,0,0,1.25274,1.25202,1.25146,0.00036,0.00037,0.00027,1.25152,1.2517438170847222,1.2517438170847222,1.25136,1.0,sell win_3,2022-04-20 17:18:00,1.251725,1.25213,,,,,
