,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-05-31 15:03:00,1.2585,1.25852,1.25829,1.25829,53,0,0,1.25967,1.25916,1.25863,0.0003,0.0003,0.00027,1.2584,1.2587287792349704,1.2587287792349704,1.25829,1.0,sell win_3,2022-05-31 15:19:00,1.25874,1.25923,,,,,
2022-05-31 19:29:00,1.26076,1.26087,1.26075,1.26078,65,0,0,1.26016,1.2607,1.26123,0.00028,0.00029,0.00044,1.26079,1.260705989729192,1.26087,1.260705989729192,,,,,,1.0,buy lose,2022-05-31 19:30:00,1.2609,1.26049
2022-05-31 19:34:00,1.26083,1.26086,1.26073,1.26081,59,0,0,1.26018,1.2607,1.26114,0.00026,0.00027,0.00043,1.26081,1.2607579996790372,1.26086,1.26073,,,,,,1.0,buy break even,2022-05-31 19:46:00,1.26089,1.2603900000000001
2022-05-31 19:50:00,1.26136,1.26146,1.26128,1.26138,81,0,0,1.26035,1.26084,1.2612,0.00026,0.00025,0.00042,1.26137,1.2611562678222608,1.26146,1.2611562678222608,,,,,,1.0,buy break even,2022-05-31 20:03:00,1.26149,1.26081
2022-06-01 15:13:00,1.25811,1.25813,1.25772,1.25779,75,0,0,1.25852,1.25823,1.25778,0.00037,0.00037,0.00025,1.25794,1.258265943356195,1.258265943356195,1.25772,1.0,sell break even,2022-06-01 15:22:00,1.2582200000000001,1.25876,,,,,
2022-06-01 15:29:00,1.25812,1.25825,1.25808,1.25815,57,0,0,1.25845,1.25818,1.25791,0.00032,0.00033,0.00025,1.25815,1.2582619159842432,1.2582619159842432,1.25808,1.0,sell lose,2022-06-01 15:32:00,1.25804,1.2585300000000001,,,,,
2022-06-02 17:22:00,1.25393,1.25401,1.25365,1.2537,120,0,0,1.25453,1.2545,1.25435,0.00053,0.00049,0.00032,1.25382,1.2546624797032166,1.2546624797032166,1.25365,1.0,sell break even,2022-06-02 17:32:00,1.25454,1.25547,,,,,
2022-06-02 17:55:00,1.25391,1.25412,1.2539,1.25397,117,0,0,1.25452,1.2545,1.25449,0.00042,0.00044,0.00036,1.25397,1.2542396911192153,1.2542396911192153,1.2539,1.0,sell break even,2022-06-02 17:59:00,1.254435,1.25501,,,,,
2022-06-03 11:05:00,1.25758,1.2578,1.25753,1.2578,39,0,0,1.2573,1.25735,1.25756,0.00024,0.00023,0.00018,1.25768,1.2574096648102984,1.2578,1.2574096648102984,,,,,,1.0,buy lose,2022-06-03 11:25:00,1.25783,1.25714
2022-06-03 11:29:00,1.25747,1.25765,1.25747,1.25764,51,0,0,1.25738,1.25746,1.25761,0.00021,0.00021,0.00019,1.25756,1.2574447232347528,1.25765,1.2574447232347528,,,,,,1.0,buy lose,2022-06-03 12:04:00,1.25768,1.25711
