,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-04-25 19:19:00,1.07132,1.07151,1.07129,1.07143,77,0,0,1.07163,1.07118,1.07097,0.00028,0.00028,0.00035,1.07139,1.0715603856645115,1.0715603856645115,1.07129,,,,,,1.0,sell break even,2022-04-25 22:19:00,1.07126,1.07189
2022-04-26 16:04:00,1.06752,1.06756,1.0674,1.06745,74,0,0,1.06819,1.06787,1.06765,0.00028,0.00029,0.00022,1.06748,1.0675808272826317,1.0675808272826317,1.0674,,,,,,1.0,sell lose,2022-04-26 16:08:00,1.06737,1.06796
2022-04-26 16:11:00,1.06788,1.06794,1.06753,1.06753,104,0,0,1.06817,1.06786,1.06768,0.00027,0.00026,0.00022,1.06772,1.0679578189631456,1.0679578189631456,1.06753,,,,,,1.0,sell win_3,2022-04-26 16:18:00,1.067885,1.06827
2022-04-26 17:34:00,1.0673,1.06731,1.06704,1.06708,116,0,0,1.06771,1.06747,1.06731,0.00029,0.0003,0.00026,1.06718,1.0673284962567928,1.0673284962567928,1.06704,,,,,,1.0,sell win_3,2022-04-26 17:41:00,1.06701,1.06766
2022-04-26 18:35:00,1.06591,1.06602,1.06573,1.06579,139,0,0,1.06675,1.06629,1.06588,0.0003,0.0003,0.00031,1.06586,1.066158629278144,1.066158629278144,1.06573,,,,,,1.0,sell lose,2022-04-26 19:03:00,1.0657,1.06639
2022-04-27 14:01:00,1.06073,1.06079,1.06062,1.06078,57,0,0,1.06127,1.0611,1.06106,0.00027,0.00028,0.00033,1.06073,1.060884015278425,1.060884015278425,1.06062,,,,,,1.0,sell win_3,2022-04-27 14:33:00,1.06059,1.06121
2022-04-28 08:54:00,1.05203,1.05205,1.05144,1.05149,183,0,0,1.05177,1.05118,1.05076,0.0005,0.00049,0.00022,1.05175,1.052113625559917,1.052113625559917,1.05144,,,,,,1.0,sell break even,2022-04-28 09:23:00,1.052015,1.05262
2022-04-28 13:10:00,1.05242,1.05245,1.05203,1.05213,107,0,0,1.05284,1.05278,1.05251,0.00033,0.00032,0.00037,1.05226,1.0526775321169832,1.0526775321169832,1.05203,,,,,,1.0,sell win_3,2022-04-28 13:22:00,1.052515,1.05303
2022-04-28 15:46:00,1.0502,1.05027,1.04966,1.0501,261,0,0,1.0506,1.05013,1.05001,0.00063,0.00064,0.00035,1.05006,1.0508116745988634,1.0508116745988634,1.04966,,,,,,1.0,sell win_3,2022-04-28 15:58:00,1.050395,1.0511599999999999
2022-04-29 16:10:00,1.05309,1.05309,1.05264,1.05273,180,0,0,1.05459,1.05393,1.05312,0.00048,0.00048,0.00032,1.05289,1.0534751249124668,1.0534751249124668,1.05264,,,,,,1.0,sell break even,2022-04-29 16:12:00,1.053385,1.05416
2022-04-29 16:25:00,1.05349,1.05351,1.05325,1.05342,117,0,0,1.05441,1.05378,1.05321,0.00042,0.00045,0.00034,1.05342,1.05364768387222,1.05364768387222,1.05325,,,,,,1.0,sell win_3,2022-04-29 16:29:00,1.05358,1.0539399999999999
2022-04-29 16:41:00,1.05298,1.05322,1.05292,1.05292,93,0,0,1.05421,1.05361,1.05314,0.00043,0.00044,0.00035,1.05301,1.0531850776318952,1.05322,1.05292,,,,,,1.0,sell win_3,2022-04-29 16:52:00,1.053305,1.05372
2022-05-02 15:12:00,1.05222,1.05235,1.05219,1.05235,46,0,0,1.05242,1.05229,1.05219,0.00021,0.00021,0.00021,1.05228,1.052400364153175,1.052400364153175,1.05219,,,,,,1.0,sell lose,2022-05-02 15:24:00,1.05216,1.05267
