,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,adx,di_p,di_n,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,adx_heikin_ema_buy,adx_heikin_ema_buy_results,adx_heikin_ema_buy_end,adx_heikin_ema_buy_enter,adx_heikin_ema_buy_stop,adx_heikin_ema_sell,adx_heikin_ema_sell_results,adx_heikin_ema_sell_end,adx_heikin_ema_sell_enter,adx_heikin_ema_sell_stop
2022-05-17 15:37:00,1.05367,1.05399,1.05364,1.05367,161,0,0,1.0518,1.05294,1.05366,18.370806535562167,19.128731223005055,21.664871844129667,0.00039,0.00038,0.00031,1.05374,1.0534546889635066,1.05399,1.0534546889635066,1.0,buy win_3,2022-05-17 15:47:00,1.05345,1.05288,,,,,
2022-05-17 16:09:00,1.0533,1.05367,1.05326,1.05365,88,0,0,1.05242,1.0534,1.05388,27.594762843174188,17.946362781386906,26.843209438598137,0.0003,0.00029,0.00032,1.05347,1.053247467486368,1.05367,1.053247467486368,1.0,buy break even,2022-05-17 16:14:00,1.0533450000000002,1.05299,,,,,
2022-05-17 16:25:00,1.05309,1.05332,1.05309,1.05327,60,0,0,1.05253,1.05335,1.05355,29.344866692364413,18.515739307088104,24.259558629419026,0.00028,0.00028,0.00032,1.05319,1.0529740603251263,1.05332,1.0529740603251263,1.0,buy lose,2022-05-17 16:48:00,1.05335,1.0527,,,,,
2022-05-19 15:00:00,1.05194,1.05203,1.05185,1.05189,106,0,0,1.05103,1.05162,1.05207,22.892900222096017,15.730616340465788,27.134946757485395,0.00035,0.00036,0.0003,1.05193,1.0517961823353728,1.05203,1.0517961823353728,1.0,buy break even,2022-05-19 15:15:00,1.05206,1.05146,,,,,
2022-05-19 15:26:00,1.05215,1.05223,1.05199,1.05218,47,0,0,1.0513,1.05183,1.05215,17.25039241508141,20.97376661029765,23.50853660575903,0.00027,0.00027,0.0003,1.05214,1.051955519610437,1.05223,1.051955519610437,1.0,buy win_3,2022-05-19 15:36:00,1.05226,1.0517400000000001,,,,,
2022-05-19 17:42:00,1.05607,1.05628,1.05595,1.05597,174,0,0,1.05459,1.05554,1.05628,18.20577248037504,19.457931808339055,20.867315257876008,0.00048,0.00047,0.00038,1.05607,1.0558004638209764,1.05628,1.0558004638209764,1.0,buy win_3,2022-05-19 17:54:00,1.0557750000000001,1.05524,,,,,
2022-05-23 09:17:00,1.0599,1.06033,1.05987,1.06031,87,0,0,1.05931,1.05953,1.05978,19.85385563437821,29.733153117088246,14.286888999892929,0.0003,0.00029,0.00013,1.0601,1.059773597224523,1.06033,1.059773597224523,1.0,buy break even,2022-05-23 09:28:00,1.0598999999999998,1.05944,,,,,
2022-05-23 10:19:00,1.05983,1.05998,1.05975,1.05982,101,0,0,1.0598,1.06007,1.06027,16.99269516591563,20.45812778369342,26.58228843951337,0.00027,0.00027,0.00017,1.05985,1.0597050557897112,1.05998,1.0597050557897112,1.0,buy break even,2022-05-23 10:36:00,1.06001,1.05949,,,,,
2022-05-23 11:01:00,1.06103,1.0613,1.06072,1.06087,226,0,0,1.05992,1.06011,1.06017,21.642877611147867,40.27268356282861,8.25048805858035,0.00038,0.0003,0.00021,1.06098,1.0604347658970084,1.0613,1.0604347658970084,1.0,buy break even,2022-05-23 11:14:00,1.060635,1.05994,,,,,
2022-05-23 13:49:00,1.06655,1.0666,1.06649,1.06657,38,0,0,1.06523,1.06645,1.06713,22.150750194991563,16.028076336289704,29.60930643277981,0.00023,0.00024,0.00035,1.06655,1.0664987447168637,1.0666,1.06649,1.0,buy break even,2022-05-23 13:55:00,1.06663,1.06627,,,,,
2022-05-23 17:09:00,1.06594,1.06602,1.06587,1.06598,79,0,0,1.06571,1.06573,1.06576,14.145385280862817,26.604267625193696,25.3286069061318,0.00027,0.00028,0.00024,1.06595,1.0657992857282217,1.06602,1.0657992857282217,1.0,buy win_3,2022-05-23 17:52:00,1.06605,1.06549,,,,,
2022-05-23 17:53:00,1.06723,1.06766,1.06698,1.06711,207,0,0,1.06605,1.06624,1.06655,18.58638286371877,34.26757299173769,15.611492303646315,0.00037,0.0003,0.00026,1.06724,1.0667377360376693,1.06766,1.0667377360376693,1.0,buy win_3,2022-05-23 18:16:00,1.06691,1.06613,,,,,
2022-05-24 11:22:00,1.07137,1.07143,1.0713,1.07134,73,0,0,1.06999,1.07101,1.07193,22.228083879019525,20.10743815779148,26.599597543937453,0.00038,0.00038,0.00029,1.07136,1.0709760949334852,1.07143,1.0709760949334852,1.0,buy break even,2022-05-24 11:30:00,1.070995,1.07053,,,,,
